id,name,email,sex,age,instrument,region,introduction,level,password,chat_flag,,,,,,,,,,,,
1,望月 直樹,session@gmail.com1,男性,18,ギター,北海道,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
2,小林 敏明,session@gmail.com2,男性,19,ベース,青森,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
3,吉田 佑樹,session@gmail.com3,男性,20,ドラム,岩手,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
4,平井 学,session@gmail.com4,男性,21,ボーカル,宮城,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
5,武田 剛,session@gmail.com5,男性,22,キーボード,秋田,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
6,近藤 俊,session@gmail.com6,男性,23,その他,山形,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
7,大西 篤,session@gmail.com7,男性,24,ギター,福島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
8,大山 健二,session@gmail.com8,男性,25,ベース,茨城,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
9,濱田 明,session@gmail.com9,男性,26,ドラム,栃木,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
10,大森 淳一,session@gmail.com10,男性,27,ボーカル,群馬,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
11,島田 拓,session@gmail.com11,男性,28,キーボード,埼玉,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
12,齊藤 健治,session@gmail.com12,男性,29,その他,千葉,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
13,土井 翔,session@gmail.com13,男性,30,ギター,東京,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
14,秋田 亮,session@gmail.com14,男性,31,ベース,神奈川,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
15,小野 義之,session@gmail.com15,男性,32,ドラム,新潟,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
16,藤原 慎二,session@gmail.com16,男性,33,ボーカル,富山,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
17,劉 拓也,session@gmail.com17,男性,34,キーボード,石川,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
18,柴田 哲平,session@gmail.com18,男性,35,その他,福井,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
19,長野 崇,session@gmail.com19,男性,36,ギター,山梨,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
20,本多 直也,session@gmail.com20,男性,37,ベース,長野,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
